result;sentence;response;response_formatted;corrections
false;So I think we can not live if old people could not find siences and tecnologies and they did not developped . ;I believe we wouldn't be able to live as we do today if previous generations hadn't discovered and developed various sciences and technologies .;[];['So I think we would not be alive if our ancestors did not develop sciences and technologies . ', 'So I think we could not live if older people did not develop science and technologies . ', 'So I think we can not live if old people could not find science and technologies and they did not develop . ', 'So I think we can not live if old people can not find the science and technology that has not been developed . ']
false;Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung . ;There was no promise of morning , but when we looked up through the trees , we could see how low the forest had dipped .;[];['Here was no promise of morning , except that we looked up through the trees , and we saw how low the forest had swung . ', 'Here , there was no promise of morning , except that we looked up through the trees and saw how low the forest had swung . ', 'Here was no promise of morning except that we looked up through the trees and we saw how low the forest had swung . ', 'There was no promise of morning except when we looked up through the trees and saw how low the forest had swung . ']
false;Thus even today sex is considered as the least important topic in many parts of India . ;Even today , sex is often regarded as one of the least important topics in many parts of India .;[];['Thus , even today , sex is considered as the least important topic in may parts of India . ', 'Thus , even today , sex is considered the least important topic in many parts of India . ', 'Thus , even today , sex is considered the least important topic in many parts of India . ', 'Thus , even today sex is considered as the least important topic in many parts of India . ']
false;image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . ;Imagine yourself working in a factory , where your only task is to put tires on cars . If you were to lose your job , it would be devastating because you wouldn't know how to do anything else beyond installing tires on cars .;[];"[""Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , because you do n't know more than to put air a in car . "", ""Imagine that you work in a factory and do just one thing , like put tires on cars ; if they fire you , they will destroy you because you do n't know how to do anything but put tires on cars . "", 'image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . ', 'Imagine yourself working in a factory. You are to do just one thing , such as put a tire on a car. If you are fired , it will destroy you because you do not know how to do more than put tires on cars . ']"
false;They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales . ;They attract consumers like me to buy their products by highlighting amazing ingredients and benefits , but sometimes they fabricate claims just to boost sales .;[];['They draw in the consumers , like me , to purchase a great product with amazing ingredients , but actually , they just make up these words to increase their sales . ', 'They draw in consumers like me , who purchase this great product with all these amazing ingredients , but sometimes they just make things up to increase their sales . ', 'They draw the consumers , like me , to purchase this great product with all these amazing features , but actually sometimes they just make something up just to increase their sales . ', 'They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that , but actually they just sometimes make something up just to increase their sales . ']
false;I want to talk about nocive or bad products like alcohol , hair spray and cigarrets . ;I want to discuss harmful products such as alcohol , hair spray , and cigarettes .;[];['I want to talk about nocive or bad products like alcohol , hair spray and cigarettes . ', 'I want to talk about harmful or bad products like alcohol , hair spray and cigarettes . ', 'I want to talk about harmful or bad products like alcohol , hair spray and cigarettes . ', 'I want to talk about harmful or bad products like alcohol , hair spray and cigarettes . ']
false;For example they can play football whenever they want but the olders can not . ;For instance , they can play football whenever they want , but the older ones cannot .;[];"['For example , they can play football whenever they want , but the elders cannot . ', 'For example , they can play football whenever they want but the others can not . ', ""For example , they can play football whenever they want but the seniors ca n't . "", 'For example they can play football whenever they want but the older ones cannot . ']"
false;It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . ;The advertisement features Diana Krall wearing a Rolex watch , accompanied by a message suggesting that if the reader wants to join the exclusive club—not just of Rolex wearers , but of highly talented , sophisticated , and competent artists—they should consider owning a Rolex as well .;[];['It features Diana Krall wearing a Rolex watch and the text suggests that if the reader wants to belong to a restricted club -- not necessarily of Rolex watch-wearers -- but of highly talented , sophisticated , competent artists , then he or she should also have a Rolex . ', 'Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to a restricted club , comprised not just of Rolex watch wearers but highly talented , sophisticated and competent artists , he or she should also have a Rolex . ', 'It figures Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . ', 'It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . ']
false;Also the work of the media , television , magazines , and every stuff made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ;Additionally , the influence of media , including television , magazines , and various forms of advertising , significantly impacts the emotions of people worldwide , often encouraging them to make unnecessary purchases .;[];['Also , the work of the media , television , magazines and other things made for publicity impacts the emotions of many people around the world , encouraging them to buy everything they can . ', 'Also , the work of the media , television , magazines , and everything involved in publicity affects the emotions of people around the world , encouraging them to buy anything they can . ', 'Also , the work of media , television , magazines , and other stuff made for publicity , affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ', 'Also , the work of the media , television , magazines , and everything made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ']
false;Since most urban areas are occupied with cars , they are all facing up with an irresistible problem of air and noise pollution . ;Since most urban areas are congested with cars , they all face the inescapable problems of air and noise pollution .;[];['Since most urban areas are occupied with cars , they are facing a problem of air and noise pollution . ', 'Since most urban areas are congested with cars , they all face the terrible problem of air and noise pollution . ', 'Since most urban areas are occupied with cars , they are all face upped with an irresistible problem of air and noise pollution . ', 'Since most urban areas are teeming with cars , they are all facing the unavoidable problem of air and noise pollution . ']
